,0,900000
A K Jacobsen,1,900000
A. Al Yousif,2,900000
A. Alcaraz,3,900000
A. Ale,4,900000
A. Almuqrin,5,900000
A. Alnemer,6,900000
A. Alsaleh,7,900000
A. Alsultan,8,900000
A. Alvarado,9,900000
A. Andrade,10,900000
A. André,11,900000
A. Araque,12,900000
A. Araujo,13,900000
A. Arroyo,14,900000
A. Ashraf,15,900000
A. Asiri,16,900000
A. Ayala,17,900000
A. Ayew,18,900000
A. Badu,19,900000
A. Bamba,20,900000
A. Barboza,21,900000
A. Bareiro,22,900000
A. Bedoya,23,900000
A. Benitez,24,900000
A. Benito,25,900000
A. Benjamin,26,900000
A. Blanco,27,900000
A. Bolaños,28,900000
A. Briseño,29,900000
A. Cabral,30,900000
A. Castillo,31,900000
A. Cayarga,32,900000
A. Centelles,33,900000
A. Crespo,34,900000
A. Cruz,35,900000
A. Dorca M.,36,900000
A. Elis,37,900000
A. Espino,38,900000
A. Fallatah,39,900000
A. Fathi,40,900000
A. Fernández,41,900000
A. Francés,42,900000
A. González,43,900000
A. Grijalva,44,900000
A. Gudiño,45,900000
A. Guerrero,46,900000
A. Gómez,47,900000
A. Hassan,48,900000
A. Hassoun,49,900000
A. Hohberg,50,900000
A. Ibargüen,51,900000
A. Ibrahim,52,900000
A. Iniestra,53,900000
A. Ivan,54,900000
A. Joui,55,900000
A. Kano,56,900000
A. Khamis,57,900000
A. Lie,58,900000
A. Lopez,59,900000
A. Lozano,60,900000
A. Luna,61,900000
A. López,62,900000
A. Majrashi,63,900000
A. Manchot,64,900000
A. Mayorga,65,900000
A. Medina,66,900000
A. Mendoza,67,900000
A. Molina,68,900000
A. Moreira,69,900000
A. Mosquera,70,900000
A. Márquez,71,900000
A. Naderi,72,900000
A. Najar,73,900000
A. Negredo,74,900000
A. Oliveros,75,900000
A. Ortolá,76,900000
A. Osorio,77,900000
A. Otegui,78,900000
A. Oña,79,900000
A. Patrick,80,900000
A. Pedraza,81,900000
A. Perea,82,900000
A. Pereira,83,900000
A. Perez,84,900000
A. Peña,85,900000
A. Preciado,86,900000
